no_throw_id,start_time_interval,end_time_interval
1,00:00:47,00:00:54
2,00:00:55,00:01:02
3,00:01:13,00:01:20
4,00:01:24,00:01:31
5,00:02:00,00:02:07
6,00:02:30,00:02:37
7,00:02:39,00:02:46
8,00:03:30,00:03:37
9,00:03:40,00:03:47
10,00:03:48,00:03:55
11,00:05:19,00:05:26
12,00:05:48,00:05:55
13,00:08:16,00:08:23
14,00:08:28,00:08:35
15,00:08:57,00:09:04
16,00:09:05,00:09:12
17,00:09:34,00:09:41
18,00:10:33,00:10:40
19,00:11:10,00:11:17
20,00:11:23,00:11:30
21,00:12:00,00:12:07
22,00:13:09,00:13:16
23,00:16:37,00:16:44
24,00:17:40,00:17:47
25,00:18:38,00:18:45
26,00:19:20,00:19:27
27,00:20:25,00:20:32
28,00:21:42,00:21:49
29,00:21:07,00:21:14
30,00:22:43,00:22:50
31,00:23:49,00:23:56
32,00:24:03,00:23:56
33,00:24:12,00:24:19
34,00:24:20,00:24:27
35,00:24:42,00:24:49
36,00:24:56,00:25:03
37,00:26:01,00:26:08
38,00:2
