attempt_id,frame_start,frame_end
1,34,58
2,86,110
3,55,80
4,53,75
5,120,159
6,95,140
7,120,135
8,99,114
9,148,159
10,108,118
11,113,129
12,168,175
13,145,168
14,137,144
15,120,127
16,118,143
17,76,91
18,61,86
19,129,209
20,108,140
21,61,74
22,62,68
23,55,62
24,61,80
25,84,105
26,58,73
27,118,161
28,115,173
29,72,87
30,137,156
31,84,150
32,91,99
33,53,70
34,na,na
35,95,141
36,46,63
37,64,104
38,136,156
39,106,119
40,37,80
41,100,113
42,99,109
43,86,106
44,99,140
45,99,109
46,86,135
47,116,119
48,148,171
49,na,na
50,63,119
51,132,178
52,85,116
53,111,120
54,95,135
55,101,122
56,51,58
57,97,108
58,97,125
59,51,58
60,71,90
61,117,173
62,96,111
63,153,165
64,84,88
65,116,121
66,130,166
67,166,190
68,69,85
69,119,149
70,162,176
71,65,75
72,113,128
73,138,154
74,88,107
75,77,109
76,76,102
77,101,106
78,92,104
79,74,122
80,140,146
81,93,104
82,126,168
83,88,103
84,96,122
85,153,170
86,94,140
87,77,107
88,142,153
89,131,136
90,108,135
91,94,135
92,114,164
93,153,183
94,132,191
95,151,171
96,86,126
97,92,99
98,96,136
99,67,95
100,100,106
101,163,175
102,164,177
103,35,68
104,139,169
105,79,107
106,145,174
107,72,95
108,125,139
109,82,103
110,75,112
111,91,120
112,na,na
113,na,na
114,129,132
115,94,104
116,129,162
117,121,145
118,101,138
119,96,130
120,109,124
121,124,130
122,141,183
123,66,70
124,79,84
125,99,107
126,152,182
127,80,94
128,136,152
129,101,106
130,106,145
131,128,179
132,103,106
133,81,113
134,100,116
135,83,105
136,97,128
137,120,131
138,142,150
139,56,77
140,56,63
141,72,87
142,83,90
143,62,71
144,91,94
145,na,na
146,na,na
147,na,na
148,na,na
149,na,na
150,na,na
151,na,na
152,na,na
153,na,na
154,na,na
155,135,147
156,na,na
157,na,na
158,na,na
159,na,na
160,na,na
161,na,na
162,na,na
163,na,na
164,na,na
165,na,na
166,65,69
167,na,na
168,na,na
169,na,na
170,na,na
171,na,na
172,na,na
173,na,na
174,na,na
175,na,na
176,na,na
177,149,168
178,na,na
179,103,127
180,84,153
181,54,65
182,161,176
183,55,64
184,116,166
185,107,135
186,123,142
187,139,158
188,154,164
189,99,104
190,86,126
191,150,186
192,71,133
193,136,168
194,142,193
195,110,117
196,138,210
197,72,81
198,94,126
199,87,108
200,51,66
201,83,92
202,53,79
203,133,139
204,62,82
205,151,187
206,113,164
207,110,123
208,48,62
209,139,142
210,66,74
211,91,116
212,93,152
213,68,95
214,41,70
215,58,70
216,53,117
217,32,46
218,131,194
219,100,106
220,106,116
221,146,158
222,88,93
223,136,152
224,103,118
225,na,na
226,36,66
227,101,110
228,61,98
229,148,152
230,128,132
231,na,na
232,108,134
233,158,171
234,68,72
235,102,137
236,112,178
237,68,87
238,128,142
239,122,136
240,61,95
241,137,150
242,108,124
243,130,172
244,141,158
245,73,90
246,75,86
247,84,95
248,68,100
249,119,125
250,72,89
251,113,133
252,148,164
253,96,114
254,137,176
255,140,148
256,na,na
257,111,125
258,96,119
259,97,122
260,100,130
261,144,162
262,83,148
263,99,118
264,151,183
265,na,na
266,101,110
267,69,76
268,82,88
269,125,155
270,154,165
271,80,113
272,122,127
273,78,89
274,107,114
275,50,77
276,50,84
277,110,141
278,na,na
279,na,na
280,na,na
281,na,na
282,na,na
283,na,na
284,na,na
285,na,na
286,na,na
287,na,na
288,96,108
289,147,155
290,101,111
291,139,164
292,na,na
293,107,117
294,138,154
295,139,145
296,116,131
297,95,98
298,92,96
299,122,151
300,70,105
301,103,125
302,88,117
303,na,na
304,118,125
305,142,165
306,128,201
307,117,126
308,99,127
309,88,102
310,119,131
311,47,101
312,147,151
313,84,91
314,127,130
315,64,79
316,72,83
317,60,79
318,71,78
319,48,67
320,55,67
321,150,165
322,130,140
323,na,na
324,na,na
325,na,na
326,na,na
327,na,na
328,na,na
329,na,na
330,na,na
331,na,na
332,na,na
333,147,153
334,135,210
335,106,115
336,49,68
337,55,74
338,96,113
339,148,180
340,81,109
341,74,83
342,87,99
343,104,140
344,63,101
345,67,84
346,69,112
347,40,72
348,70,87
349,133,156
350,116,134
351,86,90
352,114,136
353,94,108
354,137,152
355,160,185
356,na,na
357,na,na
358,na,na
359,na,na
360,na,na
361,na,na
362,na,na
363,na,na
364,na,na
365,na,na
366,151,182
367,110,146
368,79,91
369,138,154
370,138,170
371,131,194
372,134,152
373,152,173
374,71,94
375,117,133
376,125,146
377,118,129
378,na,na
379,74,89
380,53,74
381,157,163
382,96,129
383,91,125
384,73,102
385,136,144
386,107,111
387,86,135
388,131,141
389,78,111
390,86,108
391,110,116
392,134,141
393,77,88
394,149,159
395,162,168
396,134,151
397,136,140
398,127,133
399,36,50
400,na,na
401,83,93
402,82,95
403,104,120
404,68,117
405,112,126
406,115,126
407,111,130
408,68,74
409,na,na
410,97,125
411,154,164
412,94,100
413,64,82
414,110,159
415,96,112
416,98,113
417,88,108
418,87,99
419,97,116
420,141,154
421,138,147
422,116,127
423,44,47
424,113,126
425,104,203
426,117,142
427,na,na
428,94,99
429,58,63
430,39,67
431,127,149
432,64,82
433,76,99
434,na,na
435,94,121
436,113,132
437,106,116
438,136,143
439,129,142
440,155,167
441,75,87
442,110,163
443,123,138
444,56,72
445,165,172
446,147,157
447,37,49
448,94,148
449,na,na
450,124,191
451,72,78
452,123,127
453,na,na
454,68,87
455,105,110
456,76,90
457,127,153
458,95,110
459,122,127
460,135,150
461,138,151
462,118,133
463,48,140
464,60,70
465,73,83
466,32,60
467,86,121
468,140,155
469,134,146
470,103,153
471,55,72
472,51,61
473,99,113
474,107,113
475,52,81
476,114,131
477,41,44
478,105,114
479,124,196
480,89,96
481,139,151
482,61,85
483,97,139
484,94,100
485,56,90
486,129,140
487,52,59
488,85,93
489,104,111
490,92,111
491,99,109
492,87,97
493,71,99
494,75,101
495,134,145
496,na,na
497,47,67
498,83,102
499,90,98
500,52,61
501,104,114
502,98,116
503,54,61
504,81,99
505,na,na
506,139,143
507,51,60
508,134,198
509,58,63
510,135,174
511,130,159
512,138,146
513,80,124
514,80,123
515,108,123
516,na,na
517,64,88
518,94,103
519,67,72
520,86,94
521,na,na
522,96,141
523,130,133
524,136,151
525,138,149
526,98,103
527,126,156
528,65,86
529,45,56
530,37,59
531,124,154
532,130,154
533,111,115
534,65,86
535,47,56
536,107,124
537,122,129
538,100,110
539,136,148
540,131,147
541,61,87
542,110,144
543,66,95
544,96,126
545,120,159
546,73,102
547,127,144
548,100,115
549,82,122
550,132,141
551,121,154
552,106,139
553,59,78
554,126,138
555,77,120
556,127,153
557,103,131
558,84,125
559,122,145
560,157,167
561,46,54
562,114,137
563,83,107
564,127,153
565,60,81
566,80,105
567,102,110
568,73,123
569,133,183
570,107,139
571,96,102
572,113,142
573,113,150
574,107,111
575,52,73
576,140,158
577,137,156
578,142,197
579,100,135
580,142,161
581,114,139
582,124,160
583,68,123
584,67,76
585,68,95
586,79,81
587,135,152
588,86,122
589,144,160
590,51,76
591,71,97
592,68,90
593,97,125
594,55,79
595,122,135
596,86,99
597,117,138
598,149,171
599,60,106
600,93,99
601,58,76
602,77,98
603,111,145
604,130,147
605,62,77
606,45,64
607,114,140
608,145,151
609,51,66
610,139,193
611,37,114
612,129,175
613,108,119
614,68,74
615,56,115
616,48,63
617,144,163
618,116,128
619,127,144
620,91,97
621,92,107
622,112,152
623,na,na
624,61,68
625,125,136
626,42,58
627,122,139
628,49,66
629,117,135
630,45,49
631,106,110
632,157,177
633,154,164
634,93,101
635,107,122
636,113,122
637,61,65
638,113,118
639,70,87
640,127,151
641,86,100
642,97,108
643,65,74
644,122,138
645,76,83
646,126,135
647,104,110
648,174,183
649,126,137
650,101,135
651,39,109
652,82,89
653,93,118
654,84,92
655,69,83
656,110,120
657,94,112
658,118,130
659,31,52
660,54,63
661,145,155
662,70,77
663,144,172
664,na,na
665,83,100
666,111,117
667,49,62
668,43,53
669,99,104
670,74,83
671,124,155
672,103,138
673,na,na
674,92,112
675,84,94
676,88,114
677,98,124
678,115,140
679,99,123
680,91,134
681,65,81
682,59,86
683,152,195
684,29,46
685,88,99
686,123,141
687,124,166
688,49,64
689,65,116
690,142,158
691,109,129
692,76,128
693,81,102
694,83,102
695,85,94
696,104,132
697,124,134
698,129,150
699,78,94
700,117,131
701,124,144
702,91,106
703,108,123
704,86,115
705,72,80
706,59,77
707,77,86
708,72,126
709,60,83
710,66,117
711,76,96
712,106,140
713,101,120
714,71,94
715,112,127
716,126,145
717,148,189
718,123,160
719,48,81
720,56,72
721,153,185
722,64,89
723,106,120
724,72,94
725,53,77
726,52,70
727,108,141
728,126,161
729,83,93
730,90,97
731,115,138
732,88,101
733,110,122
734,78,100
735,100,113
736,121,146
737,60,84
738,151,187
739,132,145
740,126,149
741,63,106
742,75,82
743,98,116
744,128,144
745,100,134
746,109,118
747,86,105
748,154,164
749,93,111
750,47,60
751,101,125
752,111,124
753,95,114
754,125,160
755,78,87
756,104,128
757,99,108
758,na,na
759,66,80
760,129,140
761,80,115
762,65,90
763,75,89
764,84,112
765,126,142
766,105,129
767,32,47
768,38,52
769,83,100
770,64,88
771,121,140
772,54,60
773,74,107
774,107,114
775,105,114
776,95,141
777,97,102
778,79,87
779,57,92
780,108,163
781,51,62
782,109,115
783,131,144
784,131,142
785,123,142
786,142,210
787,40,49
788,60,86
789,71,105
790,96,173
791,55,69
792,41,83
793,106,133
794,95,125
795,102,128
796,42,116
797,129,139
798,107,118
799,127,164
800,151,166
801,46,72
802,126,136
803,75,108
804,142,149
805,139,147
806,55,72
807,74,79
808,na,na
809,104,111
810,92,109
811,91,94
812,126,149
813,111,138
814,78,110
815,128,140
816,75,85
817,46,89
818,43,68
819,105,123
820,137,152
821,52,90
822,42,49
823,96,113
824,48,74
825,134,156
826,95,97
827,135,145
828,132,139
829,84,95
830,137,143
831,114,125
832,113,140
833,70,92
834,77,89
835,102,140
836,75,83
837,146,152
838,102,149
839,92,123
840,114,138
841,144,152
842,134,207
843,50,61
844,75,138
845,92,102
846,146,165
847,97,132
848,126,157
849,95,112
850,44,52
851,59,75
852,137,151
853,58,86
854,68,83
855,44,67
856,46,115
857,50,75
858,46,71
859,57,128
860,134,160
861,131,157
862,143,159
863,117,148
864,89,120
865,108,132
866,132,160
867,65,93
868,139,149
869,128,140
870,104,133
871,112,143
872,141,184
873,133,144
874,52,61
875,114,136
876,148,161
877,104,113
878,44,94
879,95,105
880,67,85
881,111,116
882,153,179
883,107,148
884,98,126
885,87,210
886,101,114
887,96,106
888,127,151
889,115,144
890,64,74
891,117,196
892,49,95
893,74,80
894,81,92
895,56,67
896,64,103
897,87,120
898,88,139
899,126,154
900,132,144
901,69,117
902,125,155
903,65,87
904,146,172
905,114,139
906,130,167
907,62,72
908,44,63
909,66,92
910,72,111
911,127,140
912,113,157
913,125,147
914,96,111
915,136,146
916,73,96
917,58,92
918,126,132
919,43,56
920,128,158
921,125,142
922,87,125
923,116,130
924,112,118
925,111,140
926,144,155
927,109,124
928,102,119
929,100,120
930,125,142
931,51,64
932,120,142
933,110,136
934,155,166
935,115,122
936,41,49
937,53,64
938,105,119
939,82,113
940,147,190
941,62,110
942,64,79
943,120,145
944,109,122
945,na,na
946,116,126
947,107,121
948,125,166
949,131,165
950,36,59
951,62,78
952,66,85
953,62,84
954,150,155
955,66,120
956,49,60
957,135,143
958,64,81
959,148,187
960,105,133
961,158,169
962,135,146
963,70,88
964,108,135
965,132,155
966,72,86
967,131,159
968,77,80
969,59,68
970,96,151
971,123,156
972,51,141
973,102,123
974,58,80
975,115,161
976,89,127
977,102,137
978,96,140
979,115,141
980,85,90
981,58,80
982,64,109
983,51,57
984,131,146
985,62,88
986,95,105
987,115,139
988,70,84
989,91,100
990,84,95
991,139,171
992,91,96
993,94,100
994,101,135
995,86,119
996,99,109
997,97,109
998,85,105
999,139,146
1000,90,119
1001,119,134
1002,124,151
